,zip,zip add,Lat,Lng
511,74321,"74321, Germany",48.95356820000001,9.1241772
512,46414,"46414, Germany",51.8416015,6.699007099999999
513,41516,"41516, Germany",51.1068955,6.6294561
514,16348,"16348, Germany",52.7836022,13.4903565
515,29308,"29308, Germany",52.68892659999999,9.9105986
516,35794,"35794, Germany",50.5465206,8.201441800000001
517,86199,"86199, Germany",48.3173106,10.8461198
518,28759,"28759, Germany",53.1677224,8.6601296
519,67691,"67691, Germany",49.4436991,7.895660500000001
520,90613,"90613, Germany",49.4040529,10.7882216
521,24321,"24321, Germany",54.3005255,10.5616366
522,66292,"66292, Germany",49.3106346,6.9405869
523,72160,"72160, Germany",48.4544359,8.6481543
524,24582,"24582, Germany",54.1590001,10.0272619
525,76726,"76726, Germany",49.209194,8.3742517
526,58455,"58455, Germany",51.4406856,7.3089317
527,22397,"22397, Germany",53.69171189999999,10.0975465
528,65189,"65189, Germany",50.0726721,8.2570237
529,36275,"36275, Germany",50.8370495,9.5753767
530,51588,"51588, Germany",50.905378,7.530899
531,88433,"88433, Germany",48.1718519,9.7854685
532,35037,"35037, Germany",50.8037915,8.756556999999999
533,24943,"24943, Germany",54.7843482,9.473265
534,22946,"22946, Germany",53.60273429999999,10.3677439
535,95233,"95233, Germany",50.2472578,11.6773974
536,54338,"54338, Germany",49.8333744,6.7386347
537,34474,"34474, Germany",51.4747827,9.0054682
538,21521,"21521, Germany",53.5254266,10.3134718
539,96224,"96224, Germany",50.1392079,11.2973433
540,29348,"29348, Germany",52.7339061,10.2338484
541,26676,"26676, Germany",53.1465696,7.793562700000001
542,47589,"47589, Germany",51.6738215,6.284361199999999
543,8294,"08294, Germany",50.6155565,12.7521138
